TYPE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y,Latitude,Longitude,HOUR,MINUTE,YEAR,MONTH,DAY,Date,TIME_OF_DAY,Month_Name,Coordinates
Mischief,12XX BROUGHTON ST,West End,490000.8,5458922.8,49.28298,-123.13749,19,59,2007,1,7,01/07/2007,Evening,January,"49.28297655, -123.137489"
Theft of Vehicle,23XX E 33RD AVE,Renfrew-Collingwood,495733.4,5454109.8,49.23975,-123.05861,20,30,2000,11,25,11/25/2000,Evening,November,"49.23974964, -123.0586145"
Theft from Vehicle,MACDONALD ST / W 4TH AVE,Kitsilano,487757.9,5457304.7,49.26838,-123.16828,23,0,2001,7,14,07/14/2001,Night,July,"49.26838079, -123.1682795"
Theft of Bicycle,19XX W 62ND AVE,Kerrisdale,488912.5,5451376.5,49.21508,-123.15224,17,45,2001,3,7,03/07/2001,Evening,March,"49.21507725, -123.1522447"
Mischief,ALBERNI ST / THURLOW ST,West End,491003.6,5459185.0,49.28535,-123.12371,16,35,2007,1,2,01/02/2007,Evening,January,"49.28535058, -123.1237063"
Theft from Vehicle,67XX MONTGOMERY ST,Oakridge,490394.0,5452424.9,49.22453,-123.13193,12,30,2001,1,29,01/29/2001,Evening,January,"49.22453298, -123.1319274"
Mischief,9XX W BROADWAY AVE,Fairview,490796.7,5456750.2,49.26345,-123.12650,10,30,1999,10,29,10/29/1999,Evening,October,"49.26344571, -123.1264956"
Theft from Vehicle,10XX HOWE ST,Central Business District,490922.7,5458529.8,49.27946,-123.12480,22,30,2008,3,3,03/03/2008,Evening,March,"49.2794553, -123.1248041"
Theft from Vehicle,53XX MCHARDY ST,Renfrew-Collingwood,497275.7,5453753.8,49.23656,-123.03742,23,5,2006,12,20,12/20/2006,Night,December,"49.2365556, -123.0374235"
Theft from Vehicle,12XX GRANVILLE ST,Central Business District,490801.8,5458260.7,49.27703,-123.12646,23,0,1999,9,29,09/29/1999,Night,September,"49.27703335, -123.1264599"
Mischief,4XX ROBSON ST,Central Business District,491492.1,5458531.1,49.27948,-123.11698,21,15,2007,6,15,06/15/2007,Afternoon,June,"49.27947582, -123.1169756"
Vehicle Collision or Pedestrian Struck (with Injury),E 41ST AVE / MAIN ST,Riley Park,492609.0,5453375.0,49.23311,-123.10152,0,25,2011,1,4,01/04/2011,Evening,January,"49.23311001, -123.1015239"
Theft from Vehicle,1XX WATER ST,Central Business District,492203.3,5459031.7,49.28399,-123.10721,15,30,2004,7,19,07/19/2004,Evening,July,"49.28398765, -123.1072072"
Break and Enter Residential/Other,15XX E 5TH AVE,Grandview-Woodland,494679.1,5457035.3,49.26606,-123.07314,14,46,2010,12,17,12/17/2010,Evening,December,"49.26605679, -123.073137"
Break and Enter Commercial,12XX HOWE ST,Central Business District,490667.1,5458271.1,49.27713,-123.12831,0,43,2000,2,5,02/05/2000,Evening,February,"49.27712522, -123.1283126"
Theft from Vehicle,MCGILL ST / N RENFREW ST,Hastings-Sunrise,496796.9,5459546.4,49.28866,-123.04405,0,42,2007,9,4,09/04/2007,Evening,September,"49.28865916, -123.044048"
Theft from Vehicle,5X KEEFER PL,Central Business District,492248.6,5458541.2,49.27958,-123.10657,1,21,2007,12,7,12/07/2007,Evening,December,"49.27957673, -123.1065749"
Mischief,75XX NANAIMO ST,Victoria-Fraserview,495672.9,5451406.8,49.21543,-123.05942,16,20,2007,6,23,06/23/2007,Evening,June,"49.21543459, -123.0594171"
Theft from Vehicle,40XX W 21ST AVE,Dunbar-Southlands,485900.9,5455692.9,49.25384,-123.19375,22,0,2006,10,23,10/23/2006,Night,October,"49.25384186, -123.1937493"
Mischief,45XX CARIBOO ST,Renfrew-Collingwood,497965.5,5454558.2,49.24379,-123.02795,21,0,1999,3,15,03/15/1999,Night,March,"49.2437945, -123.0279528"
Theft of Vehicle,17XX BARCLAY ST,West End,490103.0,5459601.2,49.28908,-123.13610,17,0,2000,4,7,04/07/2000,Night,April,"49.28908016, -123.1361003"
Theft from Vehicle,CAMBIE ST / W 12TH AVE,Fairview,491628.4,5456410.1,49.26040,-123.11506,19,0,2006,11,20,11/20/2006,Night,November,"49.26039839, -123.1150564"
Other Theft,5XX W BROADWAY AVE,Fairview,491587.5,5456728.3,49.26326,-123.11563,14,34,2006,3,5,03/05/2006,Evening,March,"49.26326046, -123.1156259"
Theft from Vehicle,PINE ST / W 11TH AVE,Fairview,489562.6,5456565.5,49.26176,-123.14345,20,0,1999,9,15,09/15/1999,Night,September,"49.26176457, -123.1434528"
Theft from Vehicle,LAUREL ST / W 7TH AVE,Fairview,490970.7,5456935.9,49.26512,-123.12411,14,0,2010,1,22,01/22/2010,Night,January,"49.26511943, -123.1241075"
Break and Enter Residential/Other,8XX E PENDER ST,Strathcona,493690.5,5458598.3,49.28011,-123.08675,8,0,2002,11,11,11/11/2002,Night,November,"49.28010667, -123.0867501"
Theft from Vehicle,83XX CAPRI CRES,Killarney,497997.4,5450617.1,49.20834,-123.02749,22,0,2001,11,2,11/02/2001,Night,November,"49.20834293, -123.0274937"
Theft of Bicycle,DAVIE ST / THURLOW ST,West End,490456.7,5458633.8,49.28038,-123.13121,21,0,2009,4,8,04/08/2009,Night,April,"49.28038388, -123.1312142"
Break and Enter Residential/Other,23XX FRANKLIN ST,Grandview-Woodland,495816.8,5458809.3,49.28202,-123.05752,11,20,1999,5,20,05/20/1999,Evening,May,"49.28202308, -123.0575183"
Other Theft,7XX BUTE ST,West End,490797.7,5459282.3,49.28622,-123.12654,21,32,2007,12,29,12/29/2007,Evening,December,"49.28622283, -123.1265405"
Theft from Vehicle,BURRARD ST / SMITHE ST,West End,490951.0,5458837.7,49.28223,-123.12442,0,0,2004,1,1,01/01/2004,Night,January,"49.28222533, -123.1244224"
Other Theft,17XX W BROADWAY AVE,Fairview,489494.6,5456773.8,49.26364,-123.14439,10,10,2010,5,5,05/05/2010,Day,May,"49.26363764, -123.1443935"
Break and Enter Commercial,12XX MARINASIDE CRES,Central Business District,491266.6,5457795.1,49.27285,-123.12006,21,0,2011,9,15,09/15/2011,Night,September,"49.27285184, -123.1200602"
Mischief,15XX E BROADWAY AVE,Kensington-Cedar Cottage,494770.3,5456618.0,49.26230,-123.07188,21,4,2011,10,10,10/10/2011,Night,October,"49.26230334, -123.0718788"
Theft of Bicycle,13XX WOODLAND DR,Grandview-Woodland,494652.6,5457768.0,49.27265,-123.07351,18,15,2010,6,25,06/25/2010,Afternoon,June,"49.27264733, -123.0735111"
Theft from Vehicle,21XX W 12TH AVE,Kitsilano,488807.4,5456478.9,49.26097,-123.15383,1,30,2001,4,17,04/17/2001,Evening,April,"49.26097287, -123.1538299"
Vehicle Collision or Pedestrian Struck (with Injury),17XX PENDRELL ST,West End,489837.0,5459439.0,49.28762,-123.13975,21,10,1999,6,29,06/29/1999,Day,June,"49.28761705, -123.1397544"
Theft from Vehicle,8XX SMITHE ST,Central Business District,491088.6,5458699.5,49.28098,-123.12253,19,0,2005,11,15,11/15/2005,Night,November,"49.28098494, -123.1225268"
Theft from Vehicle,5XX W 27TH AVE,South Cambie,491483.2,5454931.3,49.24709,-123.11702,22,0,2011,12,1,12/01/2011,Night,December,"49.24709474, -123.1170213"
Mischief,19XX E 41ST AVE,Victoria-Fraserview,495134.0,5453304.4,49.23250,-123.06684,21,0,2001,6,12,06/12/2001,Night,June,"49.23249977, -123.0668396"
Theft from Vehicle,5X WATER ST,Central Business District,492335.0,5459005.7,49.28376,-123.10540,20,30,2005,3,27,03/27/2005,Evening,March,"49.28375589, -123.105395"
Vehicle Collision or Pedestrian Struck (with Injury),BURRARD ST / BEACH AVE,Central Business District,490269.0,5458148.0,49.27601,-123.13378,14,40,2001,3,23,03/23/2001,Evening,March,"49.27601135, -123.1337824"
Theft from Vehicle,5XX HOMER ST,Central Business District,491784.8,5458825.8,49.28213,-123.11296,18,18,2002,5,24,05/24/2002,Evening,May,"49.28213061, -123.1129578"
Theft of Vehicle,57XX CREE ST,Sunset,492713.8,5453306.6,49.23250,-123.10008,12,0,2009,5,18,05/18/2009,Night,May,"49.23249554, -123.1000837"
Break and Enter Residential/Other,28XX E 43RD AVE,Killarney,496564.0,5453146.9,49.23109,-123.04720,15,45,1999,1,17,01/17/1999,Evening,January,"49.2310928, -123.0471958"
Theft of Bicycle,1600M BEACH AVE,West End,489679.4,5458940.1,49.28313,-123.14191,0,0,2010,8,9,08/09/2010,Night,August,"49.28312638, -123.1419082"
Break and Enter Commercial,5XX W BROADWAY AVE,Fairview,491618.7,5456727.5,49.26325,-123.11520,20,51,2011,6,13,06/13/2011,Evening,June,"49.26325351, -123.115197"
Theft of Vehicle,14XX E 37TH AVE,Kensington-Cedar Cottage,494406.1,5453782.3,49.23679,-123.07684,19,47,2003,6,11,06/11/2003,Evening,June,"49.23679319, -123.0768441"
Vehicle Collision or Pedestrian Struck (with Injury),12XX BLOCK HOWE ST,Central Business District,490729.0,5458327.0,49.27763,-123.12746,21,35,2001,4,7,04/07/2001,Evening,April,"49.27762863, -123.1274625"
Theft from Vehicle,5XX RICHARDS ST,Central Business District,491789.2,5458959.7,49.28334,-123.11290,6,0,2004,9,21,09/21/2004,Night,September,"49.28333512, -123.1128993"
Mischief,76XX PRINCE ALBERT ST,Sunset,493592.4,5451358.9,49.21499,-123.08798,21,30,2005,4,18,04/18/2005,Evening,April,"49.21498531, -123.0879842"
Break and Enter Commercial,46XX VALLEY DR,Arbutus Ridge,488985.2,5454592.7,49.24401,-123.15133,8,31,2001,3,27,03/27/2001,Evening,March,"49.24400892, -123.1513345"
Other Theft,1XX DAVIE ST,Central Business District,491208.0,5457902.6,49.27382,-123.12087,11,55,2000,6,7,06/07/2000,Evening,June,"49.27381807, -123.1208671"
Theft from Vehicle,19XX E 19TH AVE,Kensington-Cedar Cottage,495291.2,5455662.5,49.25371,-123.06471,18,0,2004,9,2,09/02/2004,Night,September,"49.25371292, -123.0647081"
Theft from Vehicle,BURRARD ST / W PENDER ST,Central Business District,491426.9,5459318.4,49.28656,-123.11789,9,30,2006,11,9,11/09/2006,Evening,November,"49.28655643, -123.117889"
Break and Enter Residential/Other,5XX MOBERLY RD,Fairview,491459.1,5457235.7,49.26782,-123.11740,22,46,2001,4,25,04/25/2001,Evening,April,"49.26782239, -123.1174017"
Break and Enter Residential/Other,5XX E 13TH AVE,Mount Pleasant,493282.5,5456237.6,49.25887,-123.09232,10,30,2003,5,2,05/02/2003,Evening,May,"49.2588673, -123.0923205"
Theft from Vehicle,11XX PACIFIC ST,West End,490140.9,5458486.2,49.27905,-123.13555,18,0,2007,7,7,07/07/2007,Night,July,"49.27905137, -123.1355513"
Mischief,28XX CHEYENNE AVE,Renfrew-Collingwood,496606.7,5454199.2,49.24056,-123.04662,18,59,2004,3,31,03/31/2004,Evening,March,"49.24055883, -123.0466174"
Theft of Bicycle,14XX QUEBEC ST,Mount Pleasant,492586.3,5457734.7,49.27233,-123.10192,15,0,2007,7,6,07/06/2007,Night,July,"49.27232596, -123.1019171"
Mischief,65XX FRASER ST,Sunset,493386.8,5452465.8,49.22494,-123.09083,21,0,2003,2,15,02/15/2003,Night,February,"49.22494061, -123.0908251"
Other Theft,7XX GRANVILLE ST,Central Business District,491398.9,5458862.0,49.28245,-123.11826,14,51,2008,2,10,02/10/2008,Evening,February,"49.28245092, -123.1182643"
Theft from Vehicle,45XX FRASER ST,Kensington-Cedar Cottage,493433.8,5454633.3,49.24444,-123.09022,14,0,2008,1,12,01/12/2008,Night,January,"49.24443811, -123.0902157"
Theft from Vehicle,24XX KAMLOOPS ST,Hastings-Sunrise,496014.7,5456681.2,49.26288,-123.05478,4,0,2009,4,5,04/05/2009,Night,April,"49.26288157, -123.054776"
Theft from Vehicle,21XX W 45TH AVE,Kerrisdale,488653.1,5453127.8,49.23083,-123.15586,2,55,2001,3,17,03/17/2001,Evening,March,"49.2308254, -123.1558563"
Theft from Vehicle,5XX E 45TH AVE,Sunset,493169.1,5452938.0,49.22919,-123.09382,20,0,1999,12,29,12/29/1999,Night,December,"49.22918568, -123.0938226"
Break and Enter Residential/Other,63XX ASH ST,Oakridge,491409.6,5452796.0,49.22789,-123.11799,0,0,2011,2,18,02/18/2011,Night,February,"49.22788575, -123.1179873"
Theft from Vehicle,2XX E 38TH AVE,Riley Park,492662.2,5453727.4,49.23628,-123.10080,17,0,2008,5,31,05/31/2008,Night,May,"49.23628039, -123.1007991"
Theft of Vehicle,58XX LINCOLN ST,Killarney,498076.7,5453257.5,49.23209,-123.02642,6,45,1999,1,29,01/29/1999,Evening,January,"49.23209484, -123.0264179"
Theft of Bicycle,34XX FRANKLIN ST,Hastings-Sunrise,497907.7,5458808.0,49.28202,-123.02877,18,0,2010,8,13,08/13/2010,Night,August,"49.28202203, -123.028768"
Break and Enter Commercial,25XX ARBUTUS ST,Kitsilano,488875.7,5456727.3,49.26321,-123.15290,13,0,2006,8,23,08/23/2006,Night,August,"49.26320788, -123.1528983"
Theft from Vehicle,9XX BUTE ST,West End,490544.5,5459030.4,49.28395,-123.13002,23,0,2003,3,4,03/04/2003,Night,March,"49.28395272, -123.1300163"
Mischief,1XX W 49TH AVE,Oakridge,492099.0,5452560.2,49.22577,-123.10851,9,0,2003,8,15,08/15/2003,Night,August,"49.22577405, -123.1085139"
Theft from Vehicle,7XX E 60TH AVE,Sunset,493382.3,5451427.2,49.21560,-123.09087,2,0,2000,2,16,02/16/2000,Night,February,"49.21559817, -123.0908701"
Theft from Vehicle,2XX DAVIE ST,Central Business District,491127.1,5457977.0,49.27449,-123.12198,18,30,2002,12,13,12/13/2002,Evening,December,"49.27448596, -123.1219816"
Break and Enter Residential/Other,22XX W 12TH AVE,Kitsilano,488547.3,5456489.4,49.26106,-123.15741,11,0,2011,12,23,12/23/2011,Night,December,"49.2610625, -123.1574052"
Theft from Vehicle,34XX PRINCE EDWARD ST,Riley Park,492979.1,5455772.7,49.25468,-123.09648,5,13,2010,3,3,03/03/2010,Afternoon,March,"49.25468221, -123.0964825"
Theft from Vehicle,9XX BURRARD ST,Central Business District,490952.1,5458832.4,49.28218,-123.12441,22,0,2003,10,28,10/28/2003,Night,October,"49.28217849, -123.1244061"
Theft of Bicycle,5XX W 12TH AVE,Fairview,491526.4,5456417.4,49.26046,-123.11646,19,35,2000,3,1,03/01/2000,Evening,March,"49.26046283, -123.1164596"
Mischief,67XX CULLODEN ST,Sunset,494259.7,5452232.7,49.22285,-123.07883,18,0,2000,10,23,10/23/2000,Night,October,"49.22285243, -123.0788336"
Vehicle Collision or Pedestrian Struck (with Injury),TYNE ST / KINGSWAY AVE,Renfrew-Collingwood,497724.0,5453248.0,49.23201,-123.03126,6,20,2011,12,8,12/08/2011,Evening,December,"49.23200799, -123.0312628"
Theft from Vehicle,5XX HOMER ST,Central Business District,491857.8,5458887.1,49.28268,-123.11196,1,50,2000,8,25,08/25/2000,Evening,August,"49.28268281, -123.1119552"
Break and Enter Commercial,60XX WEST BLVD,Kerrisdale,488659.4,5453137.5,49.23091,-123.15577,18,15,2006,5,6,05/06/2006,Afternoon,May,"49.23091332, -123.155769"
Theft of Bicycle,2XX W PENDER ST,Central Business District,491958.9,5458790.6,49.28182,-123.11056,8,10,2007,8,8,08/08/2007,Day,August,"49.28181584, -123.1105631"
Mischief,COLUMBIA ST / E HASTINGS ST,Central Business District,492562.4,5458743.6,49.28140,-123.10226,20,0,2009,4,11,04/11/2009,Night,April,"49.28140134, -123.1022633"
Theft from Vehicle,1XX E 8TH AVE,Mount Pleasant,492558.9,5456782.6,49.26376,-123.10227,21,0,2010,8,24,08/24/2010,Night,August,"49.26376185, -123.1022749"
Mischief,24XX KINGSWAY AVE,Renfrew-Collingwood,495912.4,5454240.4,49.24093,-123.05616,0,44,2009,4,3,04/03/2009,Evening,April,"49.24092573, -123.0561573"
Theft from Vehicle,25XX W 1ST AVE,Kitsilano,488127.5,5457595.9,49.27101,-123.16321,15,30,2007,4,20,04/20/2007,Evening,April,"49.27100683, -123.1632077"
Mischief,55XX BOUNDARY RD,Renfrew-Collingwood,498276.7,5453469.4,49.23400,-123.02367,12,25,2007,8,13,08/13/2007,Evening,August,"49.2340009, -123.0236724"
Theft from Vehicle,11XX W BROADWAY AVE,Fairview,490485.7,5456758.4,49.26352,-123.13077,0,1,2000,9,10,09/10/2000,Night,September,"49.26351516, -123.1307701"
Break and Enter Commercial,5XX GORE AVE,Strathcona,492925.2,5458542.1,49.27959,-123.09727,3,24,2001,12,5,12/05/2001,Evening,December,"49.27959294, -123.097272"
Mischief,29XX E 52ND AVE,Killarney,496762.6,5452101.3,49.22169,-123.04446,23,15,2010,3,1,03/01/2010,Afternoon,March,"49.22168853, -123.0444589"
Theft of Bicycle,29XX FIR ST,Fairview,489721.0,5456289.0,49.25928,-123.14127,0,0,2005,6,25,06/25/2005,Night,June,"49.25928072, -123.1412681"
Break and Enter Commercial,18XX E HASTINGS ST,Grandview-Woodland,495104.9,5458726.3,49.28127,-123.06731,22,0,2006,5,12,05/12/2006,Night,May,"49.28127128, -123.0673052"
Break and Enter Residential/Other,33XX GARDEN DR,Kensington-Cedar Cottage,495753.7,5455658.9,49.25368,-123.05835,19,38,2003,10,16,10/16/2003,Evening,October,"49.25368401, -123.0583528"
Theft of Vehicle,GORE AVE / RAILWAY ST,Strathcona,492882.6,5459065.2,49.28430,-123.09787,22,0,2006,7,22,07/22/2006,Night,July,"49.28429791, -123.097867"
Other Theft,11XX PACIFIC BLVD,Central Business District,491329.9,5457967.6,49.27440,-123.11919,19,31,2005,3,20,03/20/2005,Evening,March,"49.27440459, -123.119193"
Theft from Vehicle,6XX W 18TH AVE,South Cambie,491373.9,5455833.3,49.25521,-123.11854,18,0,2010,5,23,05/23/2010,Night,May,"49.25520697, -123.1185422"
Theft from Vehicle,31XX STANLEY PARK DR,Stanley Park,490585.7,5461103.5,49.30260,-123.12950,9,30,2002,2,18,02/18/2002,Evening,February,"49.30260135, -123.1294978"
Break and Enter Commercial,11XX MELVILLE ST,Central Business District,491117.7,5459313.0,49.28650,-123.12214,4,0,2003,5,8,05/08/2003,Night,May,"49.28650398, -123.1221405"
Theft from Vehicle,13XX DAVIE ST,West End,490161.1,5458924.2,49.28299,-123.13528,20,30,2001,6,3,06/03/2001,Evening,June,"49.28299202, -123.1352848"
Theft from Vehicle,22XX ALDER ST,Fairview,490456.1,5457031.9,49.26597,-123.13118,18,30,2010,7,10,07/10/2010,Evening,July,"49.26597497, -123.1311838"
Break and Enter Residential/Other,25XX E 24TH AVE,Renfrew-Collingwood,496123.6,5455122.6,49.24886,-123.05326,6,30,2001,10,5,10/05/2001,Evening,October,"49.24886197, -123.0532645"
Mischief,14XX BEACH AVE,West End,489845.3,5458768.7,49.28159,-123.13962,20,15,2001,3,12,03/12/2001,Afternoon,March,"49.28158739, -123.1396228"
Theft of Bicycle,20XX E 6TH AVE,Grandview-Woodland,495473.5,5456922.9,49.26505,-123.06222,12,0,2002,5,22,05/22/2002,Night,May,"49.26505176, -123.0622167"
Break and Enter Commercial,46XX ARBUTUS ST,Arbutus Ridge,488831.0,5454592.8,49.24401,-123.15345,7,55,2002,12,22,12/22/2002,Evening,December,"49.24400747, -123.153453"
Break and Enter Commercial,8XX BEACH AVE,Central Business District,490349.8,5458062.7,49.27525,-123.13267,0,5,2004,9,30,09/30/2004,Night,September,"49.27524552, -123.132669"
Theft from Vehicle,1XX W 18TH AVE,Riley Park,492189.7,5455772.4,49.25467,-123.10733,21,0,2001,3,31,03/31/2001,Night,March,"49.2546703, -123.1073309"
Theft from Vehicle,E PENDER ST / GORE AVE,Strathcona,492923.0,5458624.7,49.28034,-123.09730,20,45,2003,6,17,06/17/2003,Evening,June,"49.28033583, -123.0973041"
Theft of Bicycle,5X KEEFER PL,Central Business District,492234.6,5458535.4,49.27952,-123.10677,14,30,2004,9,11,09/11/2004,Evening,September,"49.27952384, -123.1067664"
Break and Enter Commercial,14XX KINGSWAY AVE,Kensington-Cedar Cottage,494551.0,5455211.9,49.24965,-123.07487,6,2,2001,11,11,11/11/2001,Night,November,"49.24965362, -123.0748737"
Break and Enter Residential/Other,30XX QUEBEC ST,Mount Pleasant,492487.3,5456164.5,49.25820,-123.10325,18,30,2002,7,25,07/25/2002,Evening,July,"49.25820096, -123.1032476"
Other Theft,53XX VICTORIA DR,Kensington-Cedar Cottage,495228.8,5453655.0,49.23565,-123.06554,13,30,2011,1,14,01/14/2011,Evening,January,"49.23565488, -123.0655419"
Theft from Vehicle,CHARLESON AVE / LAMEYS MILL RD,Fairview,490698.5,5457071.9,49.26634,-123.12785,23,30,1999,8,22,08/22/1999,Evening,August,"49.26633869, -123.1278526"
Theft from Vehicle,14XX E 3RD AVE,Grandview-Woodland,494517.2,5457229.3,49.26780,-123.07537,17,0,2000,12,15,12/15/2000,Night,December,"49.26779997, -123.075365"
Theft from Vehicle,81XX MONTCALM ST,Marpole,490125.6,5451011.7,49.21182,-123.13558,21,45,2007,3,4,03/04/2007,Evening,March,"49.21181609, -123.135578"
Mischief,21XX E HASTINGS ST,Grandview-Woodland,495584.7,5458710.6,49.28113,-123.06071,21,0,2007,6,28,06/28/2007,Night,June,"49.28113344, -123.0607084"
Theft from Vehicle,9XX CANADA PL,Central Business District,491689.5,5459445.3,49.28770,-123.11428,10,30,1999,6,1,06/01/1999,Evening,June,"49.28770136, -123.114281"
Theft from Vehicle,OAK ST / SW MARINE DR,Marpole,490497.1,5450214.6,49.20465,-123.13046,12,0,2002,2,5,02/05/2002,Night,February,"49.2046521, -123.1304583"
Theft from Vehicle,12XX HOMER ST,Central Business District,491003.1,5458037.9,49.27503,-123.12369,21,0,2006,8,14,08/14/2006,Night,August,"49.27503222, -123.1236874"
Break and Enter Residential/Other,33XX SLOCAN ST,Renfrew-Collingwood,496390.4,5455728.5,49.25431,-123.04960,17,41,2011,3,11,03/11/2011,Evening,March,"49.25431426, -123.0496034"
Theft of Vehicle,19XX RUPERT ST,Hastings-Sunrise,497558.1,5457142.1,49.26704,-123.03357,22,0,2001,10,18,10/18/2001,Night,October,"49.26703584, -123.0335657"
Theft from Vehicle,26XX W 4TH AVE,Kitsilano,487919.4,5457296.3,49.26831,-123.16606,9,15,2011,2,9,02/09/2011,Afternoon,February,"49.2683079, -123.1660588"
Other Theft,7XX GRANVILLE ST,Central Business District,491398.9,5458862.0,49.28245,-123.11826,14,27,2007,12,13,12/13/2007,Evening,December,"49.28245092, -123.1182643"
Theft from Vehicle,66XX LABURNUM ST,Kerrisdale,489003.2,5452526.9,49.22543,-123.15103,20,30,2010,7,9,07/09/2010,Evening,July,"49.22542701, -123.1510305"
Theft of Vehicle,1XX W 49TH AVE,Oakridge,492099.0,5452560.2,49.22577,-123.10851,14,0,2004,2,27,02/27/2004,Night,February,"49.22577405, -123.1085139"
Mischief,7XX GRANVILLE ST,Central Business District,491394.1,5458844.3,49.28229,-123.11833,22,23,2007,6,15,06/15/2007,Evening,June,"49.28229119, -123.1183292"
Theft from Vehicle,17XX W 11TH AVE,Fairview,489531.9,5456571.4,49.26182,-123.14387,21,0,2005,9,20,09/20/2005,Night,September,"49.26181694, -123.1438744"
Theft from Vehicle,79XX KNIGHT ST,Victoria-Fraserview,494388.2,5451086.3,49.21254,-123.07705,23,0,2000,8,3,08/03/2000,Night,August,"49.21254127, -123.0770527"
Other Theft,20XX W 41ST AVE,Kerrisdale,488805.5,5453537.9,49.23452,-123.15377,17,27,2008,5,31,05/31/2008,Evening,May,"49.23451796, -123.1537735"
Other Theft,X WATER ST,Central Business District,492399.6,5458978.1,49.28351,-123.10451,16,30,2009,8,22,08/22/2009,Evening,August,"49.28350861, -123.1045069"
Theft from Vehicle,6XX PIPELINE RD,Stanley Park,490124.1,5460758.0,49.29949,-123.13584,12,53,2004,1,26,01/26/2004,Evening,January,"49.29948625, -123.1358387"
Theft from Vehicle,11XX E 22ND AVE,Kensington-Cedar Cottage,494048.8,5455345.7,49.25085,-123.08178,13,0,2002,10,4,10/04/2002,Night,October,"49.25085214, -123.0817762"
Theft of Bicycle,26XX VENABLES ST,Hastings-Sunrise,496276.5,5458216.5,49.27669,-123.05119,23,50,1999,7,27,07/27/1999,Evening,July,"49.27669389, -123.051192"
Theft from Vehicle,3XX E 32ND AVE,Riley Park,492882.6,5454382.4,49.24218,-123.09778,23,45,2002,12,1,12/01/2002,Evening,December,"49.24217523, -123.0977837"
Theft from Vehicle,12XX ROBSON ST,West End,490684.6,5459330.7,49.28666,-123.12810,20,30,2000,7,7,07/07/2000,Evening,July,"49.28665639, -123.1280963"
Other Theft,33XX KINGSWAY AVE,Renfrew-Collingwood,497404.2,5453466.2,49.23397,-123.03566,13,43,2007,4,9,04/09/2007,Evening,April,"49.23396939, -123.0356569"
Break and Enter Residential/Other,27XX W 15TH AVE,Kitsilano,487867.3,5456225.9,49.25868,-123.16674,17,0,2007,1,7,01/07/2007,Night,January,"49.25867916, -123.1667425"
Theft of Vehicle,35XX E 22ND AVE,Renfrew-Collingwood,497932.6,5455313.1,49.25059,-123.02841,22,15,2008,3,23,03/23/2008,Afternoon,March,"49.25058516, -123.0284084"
